# CKS dispersion coefficients from Grimme's D3 model
# Grimme, S.; Antony, J.; Ehrlich, S.; Krieg, H. A consistent and accurate ab initio parametrization of density functional dispersion correctioin (DFT-D) for the 94 elements H-Pu
# J. Chem Phys. 2010 Apr 21;132(15):154104. doi: 10.1063/1.3382344.
7	6	2.0143	3.9844	18.9172
7	6	2.9903	3.9844	16.8169
7	7	0	0	25.2685
7	7	0.9944	0	23.6295
7	7	0.9944	0.9944	22.1241
7	7	2.0143	0	22.2794
7	7	2.0143	0.9944	20.8501
7	7	2.0143	2.0143	19.6768
7	7	2.9903	0	19.7707
7	7	2.9903	0.9944	18.518
7	7	2.9903	2.0143	17.4928
7	7	2.9903	2.9903	15.5817
8	1	0	0.9118	6.718
8	1	0	0	10.2371
8	1	0.9925	0.9118	6.0575
8	1	0.9925	0	9.1812
8	1	1.9887	0.9118	5.3717
8	1	1.9887	0	8.0848
8	5	0	0	36.7247
8	5	0	0.9706	31.5354
8	5	0.9925	0	32.8136
8	5	0.9925	0.9706	28.2327
8	5	0	1.9441	27.0247
8	5	0.9925	1.9441	24.2416
8	5	1.9887	0	28.7713
8	5	1.9887	0.9706	24.8185
8	5	1.9887	1.9441	21.3648
8	5	0	2.9128	21.4989
8	5	0.9925	2.9128	19.3571
